# epics2ado map is generated using "./ado2epics_map.sh bpm301.919a-t1.H" command
# Manual mods: commented problematic records
#
 ,fecName,<,fecName
 ,description,<,description
 ,constructTime,<,constructTime
 ,version,<,version
 ,className,<,className
 ,commandBuffer,<,commandBuffer
 ,commandBufferLength,<,commandBufferLength
 ,systemNameS,<,systemNameS
 ,planeNameM,<,planeNameM
 ,firmwareVersionM,<,firmwareVersionM
 ,firmwareSubVersionM,<,firmwareSubVersionM
 ,boardTypeM,<,boardTypeM
 ,ignoreStatusCheckS,<,ignoreStatusCheckS
 ,statusM,<,statusM
 ,interlockStatusM,<,interlockStatusM
 ,heartbeatM,<,heartbeatM
 ,rawATimestampM,<,rawATimestampM
 ,rawBTimestampM,<,rawBTimestampM
 ,rtdlTimestampM,<,rtdlTimestampM
 ,turnCountM,<,turnCountM
# ,rawAM,<,rawAM
# ,rawBM,<,rawBM
 ,rmsAM,<,rmsAM
 ,rmsBM,<,rmsBM
 ,accumAM,<,accumAM
 ,accumBM,<,accumBM
 ,accumAfloatM,<,accumAfloatM
 ,accumBfloatM,<,accumBfloatM
 ,positionM,<,positionM
 ,avgPositionM,<,avgPositionM
 ,positionCalcM,<,positionCalcM
 ,tbtPositionM,<,tbtPositionM
 ,positionArrayM,<,positionArrayM
 ,posPeakToPeakM,<,posPeakToPeakM
 ,positionArrayAvgM,<,positionArrayAvgM
 ,positionArrayStdDevM,<,positionArrayStdDevM
 ,coherenceM,<,coherenceM
 ,bbbPositionM,<,bbbPositionM
 ,bbbStatusM,<,bbbStatusM
 ,bbbBunchCountM,<,bbbBunchCountM
 ,adcClkDelayAM,<,adcClkDelayAM
 ,adcClkDelayBM,<,adcClkDelayBM
 ,bpmOrientationCS,<,bpmOrientationCS
 ,fpgaResetA,<,fpgaResetA
 ,triggerModeAS,<,triggerModeAS
 ,triggerModeBS,<,triggerModeBS
 ,triggerTypeS,<,triggerTypeS
 ,interlockEnableS,<,interlockEnableS
 ,interlockResetS,<,interlockResetS
 ,interlockIgnoreCntS,<,interlockIgnoreCntS
 ,interlockHighLimitS,<,interlockHighLimitS
 ,interlockLowLimitS,<,interlockLowLimitS
 ,positionOffsetS,<,positionOffsetS
 ,offsetAS,<,offsetAS
 ,offsetBS,<,offsetBS
 ,calGainAS,<,calGainAS
 ,calGainBS,<,calGainBS
 ,coef1S,<,coef1S
 ,coef3S,<,coef3S
 ,thresholdS,<,thresholdS
 ,nSamplesS,<,nSamplesS
 ,bunchSamplesS,<,bunchSamplesS
 ,nSamplesHoldoffS,<,nSamplesHoldoffS
 ,samplesPerTurnS,<,samplesPerTurnS
 ,cAvgDivideS,<,cAvgDivideS
 ,nthSampleS,<,nthSampleS
 ,adcDataClkDelayAS,<,adcDataClkDelayAS
 ,adcDataClkDelayBS,<,adcDataClkDelayBS
 ,positionCalcModeS,<,positionCalcModeS
 ,bunchSelectS,<,bunchSelectS
 ,bunchAvgSkipS,<,bunchAvgSkipS
 ,bunchAvgLimitS,<,bunchAvgLimitS
 ,externalTrigDelayS,<,externalTrigDelayS
 ,eventTrigSourceS,<,eventTrigSourceS
 ,adcClkSourceS,<,adcClkSourceS
 ,adcClkRefS,<,adcClkRefS
